FrameCnt,focal_length,datetime,OSD.latitude,OSD.longitude,OSD.xSpeed [MPH],OSD.ySpeed [MPH],OSD.zSpeed [MPH],OSD.directionOfTravel,OSD.pitch,OSD.roll,OSD.yaw,GIMBAL.pitch,GIMBAL.roll,GIMBAL.yaw,HOME.longitude,HOME.latitude,adjusted height,Drone type
1,250.0,2023-10-15 17:16:32,33.2626921801628,126.179314341583,0.0,0.0,0.0,1.1,-10.4,-1.4,-19.2,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
2,250.0,2023-10-15 17:16:32,33.2626921683232,126.1793143497795,0.0,0.0,0.0,1.1,-10.45,-1.4,-19.2,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
3,250.0,2023-10-15 17:16:32,33.2626921564836,126.179314357976,0.0,0.0,0.0,1.1,-10.5,-1.4,-19.2,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
4,250.0,2023-10-15 17:16:32,33.2626921138429,126.17931435426033,0.0,0.0,0.0,1.1,-10.533333333333333,-1.3666666666666667,-19.233333333333334,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
5,250.0,2023-10-15 17:16:32,33.2626920712022,126.17931435054467,0.0,0.0,0.0,1.1,-10.566666666666666,-1.3333333333333333,-19.266666666666666,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
6,250.0,2023-10-15 17:16:32,33.2626920285615,126.179314346829,0.0,0.0,0.0,1.1,-10.6,-1.3,-19.3,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
7,250.0,2023-10-15 17:16:33,33.2626920195262,126.17931435196567,0.0,0.0,0.0,1.1,-10.6,-1.3,-19.266666666666666,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
8,250.0,2023-10-15 17:16:33,33.2626920104909,126.17931435710233,0.0,0.0,0.0,1.1,-10.6,-1.3,-19.233333333333334,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
9,250.0,2023-10-15 17:16:33,33.2626920014556,126.179314362239,0.0,0.0,0.0,1.1,-10.6,-1.3,-19.2,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
10,250.0,2023-10-15 17:16:33,33.262691977205364,126.17931435540834,0.0,0.0,0.0,1.1,-10.6,-1.3333333333333333,-19.2,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
11,250.0,2023-10-15 17:16:33,33.26269195295514,126.17931434857766,0.0,0.0,0.0,1.1,-10.6,-1.3666666666666667,-19.2,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
12,250.0,2023-10-15 17:16:33,33.2626919287049,126.179314341747,0.0,0.0,0.0,1.1,-10.6,-1.4,-19.2,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
13,250.0,2023-10-15 17:16:33,33.26269192117737,126.17931434753933,0.0,0.0,0.0,1.1,-10.6,-1.4,-19.233333333333334,-89.96666666666667,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
14,250.0,2023-10-15 17:16:33,33.26269191364983,126.17931435333168,0.0,0.0,0.0,1.1,-10.6,-1.4,-19.266666666666666,-89.93333333333334,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
15,250.0,2023-10-15 17:16:33,33.2626919061223,126.179314359124,0.0,0.0,0.0,1.1,-10.6,-1.4,-19.3,-89.9,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
16,250.0,2023-10-15 17:16:33,33.2626919321659,126.17931440262001,0.0,0.0,0.0,1.1,-10.6,-1.3666666666666667,-19.3,-89.93333333333334,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
17,250.0,2023-10-15 17:16:33,33.2626919582095,126.179314446116,0.0,0.0,0.0,1.1,-10.6,-1.3333333333333333,-19.3,-89.96666666666667,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
18,250.0,2023-10-15 17:16:33,33.2626919842531,126.179314489612,0.0,0.0,0.0,1.1,-10.6,-1.3,-19.3,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
19,250.0,2023-10-15 17:16:33,33.2626919807121,126.179314499448,0.0,0.0,0.0,1.1,-10.633333333333333,-1.3333333333333333,-19.266666666666666,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
20,250.0,2023-10-15 17:16:33,33.2626919771711,126.179314509284,0.0,0.0,0.0,1.1,-10.666666666666666,-1.3666666666666667,-19.233333333333334,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
21,250.0,2023-10-15 17:16:33,33.2626919736301,126.17931451912,0.0,0.0,0.0,1.1,-10.7,-1.4,-19.2,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
22,250.0,2023-10-15 17:16:33,33.26269198823963,126.17931450338267,0.0,0.0,0.0,1.1,-10.666666666666666,-1.4333333333333333,-19.2,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
23,250.0,2023-10-15 17:16:33,33.262692002849164,126.17931448764533,0.0,0.0,0.0,1.1,-10.633333333333333,-1.4666666666666666,-19.2,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
24,250.0,2023-10-15 17:16:33,33.2626920174587,126.179314471908,0.0,0.0,0.0,1.1,-10.6,-1.5,-19.2,-90.0,0.0,-15.5,126.181393527349,33.2632048905884,129.48208000000002,Mavic 2
